epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
72,626.761,0.02421,0.53535,0.82828,2.50488,0.00014142,0.00014142,0.00014142
73,635.472,0.01145,0.5404,0.81818,2.55078,0.000136707,0.000136707,0.000136707
74,643.658,0.01284,0.53535,0.82323,2.70508,0.000131995,0.000131995,0.000131995
75,651.8,0.01516,0.54545,0.82323,2.56055,0.000127282,0.000127282,0.000127282
76,660.34,0.00644,0.52525,0.82323,2.52539,0.00012257,0.00012257,0.00012257
77,669.286,0.01814,0.52525,0.82828,2.78906,0.000117858,0.000117858,0.000117858
78,677.609,0.01818,0.5303,0.81818,2.64941,0.000113145,0.000113145,0.000113145
79,686.112,0.00831,0.52525,0.81818,2.85449,0.000108433,0.000108433,0.000108433
80,694.391,0.00587,0.5404,0.82323,2.71582,0.00010372,0.00010372,0.00010372
81,703.427,0.0131,0.53535,0.82323,2.54883,9.9008e-05,9.9008e-05,9.9008e-05
82,711.594,0.00603,0.5404,0.82828,2.62598,9.42956e-05,9.42956e-05,9.42956e-05
83,721.027,0.01067,0.54545,0.82323,2.57227,8.95832e-05,8.95832e-05,8.95832e-05
84,728.307,0.01209,0.55051,0.82828,2.67969,8.48708e-05,8.48708e-05,8.48708e-05
85,737.141,0.01878,0.55051,0.82323,2.68262,8.01584e-05,8.01584e-05,8.01584e-05
86,745.269,0.00515,0.5404,0.82828,2.69336,7.5446e-05,7.5446e-05,7.5446e-05
87,753.649,0.01167,0.5404,0.82323,2.65918,7.07336e-05,7.07336e-05,7.07336e-05
88,762.008,0.00363,0.5404,0.82828,2.72168,6.60212e-05,6.60212e-05,6.60212e-05
89,770.855,0.00942,0.55051,0.82323,2.64062,6.13088e-05,6.13088e-05,6.13088e-05
90,778.948,0.00447,0.5404,0.82828,2.83203,5.65964e-05,5.65964e-05,5.65964e-05
91,790.59,0.01705,0.55051,0.82828,2.70605,5.1884e-05,5.1884e-05,5.1884e-05
92,799.826,0.00704,0.55556,0.83333,2.65332,4.71716e-05,4.71716e-05,4.71716e-05
93,808.193,0.00437,0.55556,0.83333,2.65918,4.24592e-05,4.24592e-05,4.24592e-05
94,816.586,0.00873,0.55051,0.83333,2.62305,3.77468e-05,3.77468e-05,3.77468e-05
95,825.242,0.00805,0.55556,0.82828,2.64453,3.30344e-05,3.30344e-05,3.30344e-05
96,834.258,0.01167,0.55556,0.83838,2.58203,2.8322e-05,2.8322e-05,2.8322e-05
97,842.651,0.01214,0.56061,0.83838,2.55469,2.36096e-05,2.36096e-05,2.36096e-05
98,851.184,0.01011,0.55556,0.83838,2.77637,1.88972e-05,1.88972e-05,1.88972e-05
99,859.937,0.00752,0.55051,0.83333,2.65918,1.41848e-05,1.41848e-05,1.41848e-05
100,868.899,0.012,0.54545,0.83333,2.7832,9.4724e-06,9.4724e-06,9.4724e-06
